Status,Row,Distance_m,Group,Plant No.,treatment2,treatment1,Harvest Date,date,initials2,initials,Time_groupa,Time_group,time3,TimeFromSun,time2,time,Pod,Pod2,Pod3,FreshPodWeight_g,Abort2,Abort3,Pod_status,fresh_podWeight_g,developedSeeds2,developedSeeds,undevelopedSeeds,seedSum,CommericalGrade,CommericalGrade2,dry weight_g,nots_a,notes_b
DONE,15,11.4,c,200,open,open,13-Aug-21,7-Jul-21,,NA,NA,NA,NA,,NA,NA,pod-2,2,0,NA,A,0,A,A/ .002 (mini bean),0,0,0,0,,,0.0116,44384,200(prev199)
DONE,5,3.8,a,93,bagged,bagged,,6-Jul-21,,NA,NA,NA,NA,,NA,NA,pod-3,3,1,0.0367,Fl,1,Dried,0.0367,0,0,0,0,N,0,0.0334,,
DONE,9,6.84,b,126,bagged,cntrl,,9-Jul-21,,NA,NA,NA,NA,,NA,NA,pod-1,1,1,0.0067,Fl,1,Dried,0.0067,0,0,0,0,N,0,0.0042,,
DONE,10,7.6,b,144,cross,cross,16-Aug-21,7-Jul-21,KCE,KCE,early,early,901,3,901,9:01:00 AM,pod-1,1,1,1.7339,Fl,1,Fl,1.7339,1,1,0,1,N,0,,,
DONE,9,6.84,b,224,cross,cross,16-Aug-21,7-Jul-21,YD,YD,early,early,920,3,920,9:20:00 AM,pod-1,1,1,1.5017,Fl,1,Fl,1.5017,1,1,0,1,N,0,0.3996,,
DONE,4,3.04,a,221,cross,cross,,6-Jul-21,KCE,KCE,mid,early,1023,4,1023,10:23:00 AM,pod-1,1,1,1.2265,Fl,1,Fl,1.2265,1,1,0,1,N,0,0.3349,,
,5,3.8,a,77,cross,cross,9-Aug-21,8-Jul-21,MR,MR,mid,early,1025,4,1025,1020,pod-1,1,1,1.1452,Fl,1,Fl,1.1452,1,1,0,1,N,0,0.2894,opened 7:10am,
DONE,10,7.6,b,138,cross,cross,,7-Jul-21,KCE,KCE,mid,early,1038,4,1038,10:38:00 AM,pod-1,1,1,1.2471,Fl,1,Fl,1.2471,1,1,0,1,N,0,0.3327,,
DONE,5,3.8,a,89,cross,cross,,6-Jul-21,KCE,KCE,mid,mid,1105,5,1105,11:05:00 AM,pod-1,1,1,1.4422,Fl,1,Fl,1.4422,1,1,0,1,N,0,0.4084,,
DONE,2,1.52,a,13,bagged,bagged,,8-Jul-21,KCE,NA,NA,NA,1138,5,1138,11:38:00 AM,pod-2,2,1,0.9142,Fl,1,Fl,0.9142,1,1,0,1,N,0,0.2546,,
DONE,11,8.36,c,160,bagged,cntrl,16-Aug,7-Jul-21,,NA,NA,NA,1305,7,1305,1305,pod-3,3,1,1.2809,Fl,1,Fl,1.2809,1,1,0,1,N,0,0.2936,,
DONE,4,3.04,a,57,bagged,bagged,16-Aug-21,6-Jul-21,,NA,NA,NA,1400,8,1400,2:00:00 PM,pod-2,2,1,1.5331,Fl,1,Fl,1.5331,1,1,0,1,N,0,0.3925,,
DONE,5,3.8,a,92,bagged,bagged,16-Aug-21,6-Jul-21,KCE,NA,NA,NA,1400,8,1400,2:00:00 PM,pod-2,2,1,1.0626,Fl,1,Fl,1.0626,1,1,0,1,N,0,0.2654,,
DONE,6,4.56,b,100,bagged,bagged,16-Aug-21,6-Jul-21,,NA,NA,NA,1405,8,1405,2:05:00 PM,pod-3,3,1,1.0161,Fl,1,Fl,1.0161,1,1,0,1,N,0,0.2392,,
,2,1.52,a,28,cross,cross,,5-Jul-21,KCE,KCE,afternoon,afternoon,1413,8,1413,2:13:00 PM,pod-1,1,1,0.9346,Fl,1,Fl,0.9346,1,1,0,1,N,0,0.2463,"25,28,32",
DONE,14,10.64,c,182,cross,cross,13-Aug-21,4-Jul-21,KCE,KCE,afternoon,afternoon,1430,8,1430,230PM,pod-1,1,1,1.1,Fl,1,Fl,1.1,1,1,0,1,N,0,0.2658,,
DONE,14,10.64,c,182,cross,cross,13-Aug-21,4-Jul-21,KCE,KCE,afternoon,afternoon,1430,8,1430,230PM,pod-2,2,1,1.6,Fl,1,Fl,1.6,1,1,0,1,N,0,0.3995,,
,14,10.64,c,189,bagged,cntrl,,7-Jul-21,,NA,NA,NA,1923,12,1923,1923,pod-5,5,1,1.0211,Fl,1,Fl,1.0211,1,1,0,1,N,0,0.2241,,
DONE,1,0.76,a,4,open,open,,7-Jul-21,KCE,NA,NA,NA,NA,,NA,NA,pod-2,2,1,1.0098,Fl,1,Fl,1.0098,1,1,0,1,N,0,0.2556,,
,2,1.52,a,26,bagged,bagged,16-Aug-21,7-Jul-21,KCE,NA,NA,NA,NA,,NA,NA,pod-4,4,1,0.9317,Fl,1,Fl,0.9317,1,1,0,1,N,0,0.2113,,
DONE,2,1.52,a,18,open,open,,7-Jul-21,MR,NA,NA,NA,NA,,NA,NA,pod-1,1,1,1.1392,Fl,1,Fl,1.1392,1,1,0,1,N,0,0.319,,
DONE,4,3.04,a,67,open,open,16-Aug-21,7-Jul-21,KCE,NA,NA,NA,NA,,NA,NA,pod-2,2,1,1.7371,Fl,1,Fl,1.7371,1,1,0,1,N,0,0.4502,,
DONE,5,3.8,a,75,open,open,,6-Jul-21,KCE,NA,NA,NA,NA,,NA,NA,pod-4,4,1,1.294,Fl,1,Fl,1.294,1,1,0,1,N,0,0.3266,,
DONE,6,4.56,b,95,open,open,16-Aug-21,7-Jul-21,NA,NA,NA,NA,NA,,NA,NA,pod-4,4,1,0.9176,Fl,1,Fl,0.9176,1,1,0,1,N,0,0.2332,,
DONE,8,6.08,b,109,open,open,16-Aug-21,7-Jul-21,MR,NA,NA,NA,NA,,NA,NA,pod-1,1,1,1.6414,Fl,1,Fl,1.6414,1,1,0,1,N,0,0.4219,,
DONE,9,6.84,b,206,bagged,bagged,16-Aug-21,,AE,NA,NA,NA,NA,,NA,NA,pod-1,1,1,0.7687,Fl,1,Fl,0.7687,1,1,0,1,N,0,0.1796,,
DONE,9,6.84,b,125,open,open,,7-Jul-21,MR,NA,NA,NA,NA,,NA,NA,pod-1,1,1,1.2508,Fl,1,Fl,1.2508,1,1,0,1,N,0,0.3294,,
,9,6.84,b,211,open,open,24-Aug-21,15-Jul-21,,NA,NA,NA,NA,,NA,NA,pod-1,1,1,0.6606,Fl,1,Fl,0.6606,1,1,0,1,N,0,0.2634,found in Dec,
